Firma;Leistung;Typ
Fa. Zech-Ruth;Vermessung;Fachplanung
imKONTEXT.berlin GmbH;Brandschutzsachverständigung;Fachplanung
Dr. Zauft Ingenieure;Brandschutzprüfung;Fachplanung
CRP Bauingenieure GmbH;Beweissicherung;Fachplanung
Witt Gebäudetechnik;TGA;Fachplanung
Dipl.-Ing. H. Shahmirzadi;Tragwerksplanung, Bauphysik;Fachplanung
Prof. Dipl.-Ing. P. Göttlich;Prüfstatik;Prüfer
GECO GmbH;Bodengutachten;Fachplanung
Landschaftsarchitektur.Jobst;Außenanlagen;Fachplanung
Keller Grundbau GmbH;Spezial Tiefbau;Tiefbau
Stadtbau Cakan GmbH;Bauhaupt;Bauhaupt
Witt Gebäudetechnik;TGA;Fachplanung
Bezirksamt Mitte;Bauaufsichtsamt, Stadtplanungsamt, Tiefbauamt (Straßenbau), Verkehrslenkung, Wasserrechtlichegenehmigung;Behörde
BERLINMEDIAGROUP;Print;Sonstiges
Schindler;Aufzug;Aufzugsbauer
Sonepar;Elektro;Elektro
HPT-Elektro;Elektro;Elektro
Potts GmbH;Dachstuhl;Zimmererarbeiten
Winfred Günther;Fenster;Fenster
Scharmer-Yu;Architekturplanung;
Obergassel Dachbau GmbH;Dachdecker;
Shefket;Innenausbau;
rotec;Metallbau;Metallbau
SEK;Gerüstbau;Gerüstbau
Weigt;Elektro;Elektro
Dobrinins & Manin GbR;Heizung Lüftung Sanitär;Heizung Lüftung Sanitär
Fliesenzentrum;Fliesen;Fliesenarbeiten
Estrotech GmbH;Estrich;Estricharbeiten
Galabau Sternsdorf;Gartenbau;Gartenbau
Mutz;Blower Door Test;Gutachten
BFBR Berlin GmbH;Bodenverlegearbeiten;Bodenverlegearbeiten
MARIJA MARINKOVIC;Abriss, Erdbau, Entrümpelung;
Maas GmbH;Natursteinmanufaktur;Natursteinarbeiten
Die Küche Handels GmbH;Küchenbauer;Küchen
Vattenfall;Fernwärme;Versorger
